year,division,status,project,project_raw,total,state_gf,gifts,debt,other_funds
2023,Academic Division,In Planning/Design,UVA NOVA Fairfax(tenant fit out),UVA NOVA Fairfax(tenant fit out),20.6,,,,20.6
2023,Academic Division,Under Construction,Virginia Guesthouse(UVA Hotel & Conference Center),Virginia Guesthouse(UVA Hotel & Conference Center),167.9,,3.0,144.9,20.0
2023,College at Wise,In Planning/Design,Athletic Building,Athletic Building,24.7,,24.7,,
2023,College at Wise,In Planning/Design,Bowers-Sturgill Hall Renovation,Bowers-Sturgill Hall Renovation,5.9,5.9,,,
2023,College at Wise,In Planning/Design,Campus Welcome Center/Public Safety Facility,Campus Welcome Center/Public SafetyFacility,5.6,5.6,,,
2023,College at Wise,In Planning/Design,Darden Hall Renovation,Darden Hall Renovation,40.3,40.3,,,
2023,College at Wise,In Planning/Design,Music Education Center,Music Education Center,45.2,22.6,22.6,,
2023,College at Wise,In Planning/Design,Sandridge Science Center Lab Wing Renovation,Sandridge Science Center Lab WingRenovation,39.1,39.1,,,
2023,College at Wise,In Planning/Design,Technology Classroom Building,TechnologyClassroom Building,52.0,52.0,,,
2023,College at Wise,Under Construction,Wyllie Library Renovation and Conversion,Wyllie LibraryRenovation and Conversion,16.6,16.6,,,
2023,College at Wise,In Planning/Design,Zehmer Hall Renovation,Zehmer Hall Renovation,23.1,23.1,,,
2023,UVA Health System,In Planning/Design,Consumer Ambulatory Clinic(tenant fit-out),Consumer AmbulatoryClinic(tenant fit-out),15.0,,,,15.0
2023,UVA Health System,In Planning/Design,Focused Ultrasound Expansion,Focused Ultrasound Expansion,16.5,,,,16.5
2023,UVA Health System,In Planning/Design,Multi-Disciplinary Ambulatory Clinic Building,Multi-DisciplinaryAmbulatoryClinic Building,155.0,,,77.5,77.5
2023,UVA Health System,In Planning/Design,UVA Encompass Rehabilitation Hospital Renovation & Expansion,UVA Encompass Rehabilitation Hospital Renovation & Expansion,45.0,,,,45.0
2023,UVA Health System,In Planning/Design,UVA Hospital Project,UVA Hospital Project,132.0,,,,132.0
2023,UVA Health System,In Planning/Design,Zion Crossroads Shell Space Clinic Build Out,Zion Crossroads Shell Space Clinic Build Out,7.4,,,,7.4
2024,Academic Division,Under Construction,<br>UVA NOVA Fairfax (tenant fit out),<br>UVA NOVA Fairfax (tenant fit out),20.6,,,,20.6
2024,Academic Division,Not Yet Initiated,Athletics Training Grounds Conversion (planning/design),Athletics Training Grounds Conversion (planning/design),1.0,,1.0,,
2024,Academic Division,In Planning/Design,Center for Politics,Center for Politics,10.0,,10.0,,
2024,Academic Division,In Planning/Design,Center for the Arts(planning/design),Center for the Arts(planning/design),15.3,,15.3,,
2024,Academic Division,Not Yet Initiated,Darden Faculty Office Building Renovation (planning/design),Darden Faculty Office Building Renovation (planning/design),1.5,,1.5,,
2024,Academic Division,Not Yet Initiated,Darden Faculty Research Building Renovation (planning/design),Darden Faculty Research Building Renovation (planning/design),1.5,,1.5,,
2024,Academic Division,Not Yet Initiated,Darden Global Innovation Nexus(planning/design),Darden Global Innovation Nexus(planning/design),5.0,,5.0,,
2024,Academic Division,In Planning/Design,Darden Student Housing,Darden Student Housing,155.0,,6.0,149.0,
2024,Academic Division,In Planning/Design,Engineering Academic Building (planning/design),EngineeringAcademic Building (planning/design),5.0,,5.0,,
2024,Academic Division,Not Yet Initiated,Environmental Health & Safety Facility (planning/design),Environmental Health & SafetyFacility (planning/design),1.5,,,,1.5
2024,Academic Division,Under Construction,Fontaine Research Park Central Energy Plant & Utilities,Fontaine Research Park Central EnergyPlant & Utilities,70.0,,,62.5,7.5
2024,Academic Division,Under Construction,Fontaine Research Park Parking Garage,Fontaine Research Park ParkingGarage,61.0,,,46.65,14.35
2024,Academic Division,Under Construction,Fontaine Research Park Roadway Infrastructure,Fontaine Research Park RoadwayInfrastructure,10.0,,,,10.0
2024,Academic Division,Under Construction,Hereford Residential College HVAC Upgrade,Hereford Residential College HVAC Upgrade,11.4,,,,11.4
2024,Academic Division,Under Construction,Ivy Corridor Landscape & Infrastructure Phase IIA,IvyCorridor Landscape & Infrastructure Phase IIA,11.8,,,,11.8
2024,Academic Division,Under Construction,Karsh Institute of Democracy (includes Batten),Karsh Institute of Democracy (includes Batten),82.0,,7.0,75.0,
2024,Academic Division,Under Construction,Low Temperature Hot Water Conversion,Low Temperature Hot Water Conversion,38.49,,,34.5,3.99
2024,Academic Division,Under Construction,Mem Gym Infrastructure & Accessibility Renewal,Mem Gym Infrastructure & AccessibilityRenewal,20.5,,,20.5,
2024,Academic Division,In Planning/Design,Monroe Hall Addition HVAC Renewal,Monroe Hall Addition HVAC Renewal,9.0,,,4.5,4.5
2024,Academic Division,In Planning/Design,North Grounds Parking Garage,North Grounds ParkingGarage,50.0,,,19.7,30.3
2024,Academic Division,Not Yet Initiated,OMERF MEP System Renewal & ADA Improvements(planning/design),OMERF MEP System Renewal & ADA Improvements(planning/design),1.5,,,,1.5
2024,Academic Division,Under Construction,Olympic Sports Center,Olympic Sports Center,75.8,,,75.8,
2024,Academic Division,Under Construction,Paul and Diane Manning Institute of Biotechnology,Paul and Diane ManningInstitute of Biotechnology,350.0,,100.0,250.0,
2024,Academic Division,Not Yet Initiated,Pinn Hall 2nd-Floor Renovation,Pinn Hall 2nd-Floor Renovation,7.0,,,,7.0
2024,Academic Division,Under Construction,Public Safety Building Renovation,Public SafetyBuildingRenovation,10.0,,,,10.0
2024,Academic Division,In Planning/Design,Replacement of the Chemistry Addition Chillers,Replacement of the ChemistryAddition Chillers,12.0,,,12.0,
2024,Academic Division,In Planning/Design,Research Computing Data Center(planning/design),Research ComputingData Center(planning/design),3.0,,,,3.0
2024,Academic Division,Not Yet Initiated,School of Architecture Center for Design(planning/design),School of Architecture Center for Design(planning/design),4.0,,4.0,,
2024,Academic Division,In Planning/Design,Second-year Housing Initiative (planning/design),Second-year Housing Initiative (planning/design),7.0,,,7.0,
